ResponseID,IPAddress,StartDate,EndDate,FactRaw1,FactPercent1,Similarity1,Quality1,Commonalities1,FactRaw2,FactPercent2,Similarity2,Quality2,Commonalities2,FactRaw3,FactPercent3,Similarity3,Quality3,Commonalities3,FactRaw4,FactPercent4,Similarity4,Quality4,Commonalities4,FactRaw5,FactPercent5,Similarity5,Quality5,Commonalities5,FactRaw6,FactPercent6,Similarity6,Quality6,Quality6_2,Commonalities6,FactRaw7,FactPercent7,Similarity7,Quality7,Commonalities7,Age,StudiedUSHistory,InterestedUSHistory,SocialViews,EconomicViews,GovernmentViews,LocationLatitude,LocationLongitude
R_22Rm7pEmLyrnKav,128.163.239.78,3/30/17 0:04,3/30/17 0:09,3,1,3,,Wartime presidents. ,4,1,5,,Each of these presidents saw the country through difficult global/domestic turmoil.  / ,5,0.714285714,4,,,3,1,4,,Democrats. Extremely impactful (for good or bad) social policies. ,2,0.285714286,3,,,6,0.5,2,,,,6,0.857142857,2,,,21 to 30,Yes,4,3,2,2,38.02870178,-84.50749969
R_6sewYf4QS6Wjmhj,98.111.203.192,3/29/17 23:59,3/30/17 0:37,3,1,4,,All three were directly involved in or oversaw a war.,4,1,2,,"I am not sure what similarities these presidents have, other than all being involved in conflict/war, and all being well regarded.",4,0.571428571,2,,I am not sure what similarities these presidents have.,3,1,4,,"All three were Democrats, all oversaw economic growth and help put forth policies towards that goal, all sought to help the poor, all oversaw the sending of troops overseas and were involved in wars, and all three were tremendously controversial and remains as thus.",8,0,4,,One commonality these presidents have is that they all are viewed unremarkably and are seen as relatively unimportant and forgettable.,4,0.333333333,1,,,"I am not sure what presidents in this group have in common, other than many of them not being extensively remembered today. ",6,0.857142857,1,,"Overall these presidents are all very different. A couple pairs have some commonalities, such as Bush and Grant being involved in wars (J. Adams and Madison as well to a certain extent, but not directly like Bush and Grant), and Adams and Madison being directly involved in the founding of the United States.",21 to 30,Yes,3,3,5,5,40.47340393,-79.99030304
R_3ER1Gpnd5yR1vUw,74.111.126.239,3/30/17 1:25,3/30/17 1:31,2,0.666666667,4,,,4,1,1,,actionists,4,0.571428571,1,,internal visionists,3,1,1,,Democratic,8,0,3,,Forgettable,7,0.583333333,3,,,Republican,2,0.285714286,3,,,21 to 30,Yes,4,5,1,2,40.4066925,-80.1108017
R_2VHJrUYCH73NsCj,67.186.34.241,3/30/17 7:25,3/30/17 7:30,2,0.666666667,4,,All in office in war time?,3,0.75,3,,,2,0.285714286,3,,,2,0.666666667,2,,,3,0.428571429,4,,Were none of them elected? Or at least a lot were VPs when a president died,3,0.25,3,,,,3,0.428571429,2,,,21 to 30,Yes,3,5,5,5,40.43099976,-79.92269897
R_beKUSsPScIBzMbL,74.109.232.163,3/30/17 7:27,3/30/17 7:31,3,1,2,,,3,0.75,4,,,2,0.285714286,3,,,2,0.666666667,2,,,8,0,3,,,5,0.416666667,3,,,,4,0.571428571,4,,,21 to 30,Yes,3,4,4,4,40.37869263,-79.97100067
R_3ipVqYR8j38BG4g,104.39.80.61,3/30/17 8:46,3/30/17 8:59,3,1,4,,"They all presided over the cold war, and they all were involved in the nuclear arsenal effort.",4,1,5,,"All pushed for idealist concepts, but did whatever it took to make it happen. Presided over times of great change and/or turmoil. ",4,0.571428571,2,,It's hard to draw similarities across such disparate time periods.,3,1,5,,Johnson and Obama (and maybe Clinton) presided over wars they did not begin. They all generally increased social services. They all followed presidents of the opposite party.,2,0.285714286,4,,They were all presidents in times of relative peace and prosperity.,7,0.583333333,3,,,"All Republicans, at least the ones I can remember.",7,1,1,,,21 to 30,Yes,3,2,3,3,40.80769348,-77.86139679
R_3hiLPk1szgr7skq,12.21.164.230,3/30/17 12:22,3/30/17 12:33,2,0.666666667,5,55,"All democratic, all in the mid 1900s.",4,1,4,77,"All except FDR are on Mount Rushmore. Key historical figures due to the wars they were involved in, or in Teddy's case, the great accomplishments he is known for (Panama, Nat'l Parks, Teddy Bear, etc.)",3,0.428571429,2,44,I think they were mostly all conservative.,2,0.666666667,4,53,All are Democratic. All within the past century.,8,0,2,20,I don't know.,3,0.25,2,35,35,Not much that I am aware of.,4,0.571428571,3,45,"Besides Grant, they all have first names that start with either G or J. I think most of them were Republican/Conservative, except for Carter.",21 to 30,Yes,2,2,1,2,35.22709656,-80.8431015
R_2dlLIO1jNFeW3OZ,68.134.6.95,3/30/17 12:22,3/30/17 12:48,3,1,5,82,Eisenhower and Truman were both high ranking military officers. All three are Democrats,4,1,2,91,Generally regarded as some of our best presidents. Many social justice issues of their day.,6,0.857142857,4,50,"Many were involved in expansion, particularly Jackson, Jefferson, and Monroe. Many were also associated with either scandals or poor decisions and we're president during relative times of prosperity.",3,1,4,80,All Democrats. ,6,0.857142857,2,61,Don't know,9,0.75,3,41,42,"A lot of scandals, not all. Generally not the best regarded presidents",7,1,2,67,"Many, but not all, served as Vice President",21 to 30,Yes,4,4,4,4,39.21060181,-76.82679749
R_PLKjIdldEp0Whz3,107.77.226.187,3/30/17 14:54,3/30/17 16:05,2,0.666666667,2,95,,4,1,2,97,,2,0.285714286,1,92,,2,0.666666667,1,99,,1,0.142857143,3,25,,2,0.166666667,5,75,76,,1,0.142857143,1,60,,21 to 30,Yes,2,5,2,2,40.83990479,-73.94219971
R_2YKQ6lCjnTIBZNi,97.32.130.79,3/30/17 16:53,3/30/17 17:00,3,1,1,63,,2,0.5,4,82,,2,0.285714286,1,52,,2,0.666666667,4,79,,8,0,3,52,,3,0.25,2,51,51,,3,0.428571429,2,53,,21 to 30,Yes,4,5,4,4,37.75100708,-97.8219986
